"Poll","Clinton","Trump","Johnson","Stein","Date_Start","Date_End","Size","Sample_Type"
"Economist/YouGov",42,37,7,3,2016-08-27,2016-08-29,1119,"RV"
"Reuters/Ipsos",40,38,6,2,2016-08-25,2016-08-29,1404,"LV"
"Monmouth",46,39,7,2,2016-08-25,2016-08-28,689,"LV"
"USA Today/Suffolk",42,35,9,4,2016-08-24,2016-08-29,1000,"LV"
"NBC News/SM",41,37,11,5,2016-08-22,2016-08-28,24104,"RV"
"Gravis",42,41,4,1,2016-08-22,2016-08-23,1493,"LV"
"Rasmussen Reports",42,38,9,2,2016-08-23,2016-08-24,1000,"LV"
"Reuters/Ipsos",39,36,7,3,2016-08-20,2016-08-24,1049,"LV"
"Economist/YouGov",42,38,6,4,2016-08-19,2016-08-23,906,"RV"
"Quinnipiac",45,38,10,4,2016-08-18,2016-08-24,1498,"LV"
"NBC News/SM",43,38,11,5,2016-08-15,2016-08-21,17459,"RV"
"Pew Research",41,37,10,4,2016-08-09,2016-08-16,1567,"RV"
"Rasmussen Reports",41,39,9,3,2016-08-15,2016-08-16,1000,"LV"
"Reuters/Ipsos",39,35,7,2,2016-08-13,2016-08-17,1049,"LV"
"Economist/YouGov",41,35,7,3,2016-08-14,2016-08-16,911,"RV"
"NBC News/SM",43,37,11,4,2016-08-08,2016-08-14,15179,"RV"
"Rasmussen Reports",43,40,8,2,2016-08-09,2016-08-10,1000,"LV"
"Gravis",42,37,9,3,2016-08-09,2016-08-09,2832,"LV"
"Bloomberg",44,40,9,4,2016-08-05,2016-08-08,749,"LV"
"Reuters/Ipsos",40,35,7,3,2016-08-06,2016-08-10,974,"LV"
"Economist/YouGov",42,36,9,2,2016-08-06,2016-08-09,911,"RV"
"Monmouth",50,37,7,2,2016-08-04,2016-08-07,683,"LV"
"NBC News/SM",44,38,10,4,2016-08-01,2016-08-07,11480,"RV"
"ABC News/Wash Post",45,37,8,4,2016-08-01,2016-08-04,815,"RV"
"IBD/TIPP",39,35,12,5,2016-07-29,2016-08-04,851,"RV"
"McClatchy/Marist",45,31,10,6,2016-08-01,2016-08-03,983,"RV"
"NBC News/Wall St. Jrnl",43,34,10,5,2016-07-31,2016-08-03,800,"RV"
"Rasmussen Reports",44,40,6,3,2016-08-01,2016-08-02,1000,"LV"
"Reuters/Ipsos",42,38,6,2,2016-07-30,2016-08-03,1072,"LV"
"Economist/YouGov",41,36,8,4,2016-07-30,2016-08-01,933,"RV"
"CNN/ORC",45,37,9,5,2016-07-29,2016-07-31,894,"RV"
"PPP (D)",46,41,6,2,2016-07-29,2016-07-30,1276,"LV"
"NBC News/SM",42,38,9,4,2016-07-25,2016-07-31,12742,"RV"
"Reuters/Ipsos",37,37,5,1,2016-07-25,2016-07-29,1433,"LV"
"CNN/ORC",39,44,9,3,2016-07-22,2016-07-24,882,"RV"
"Economist/YouGov",40,38,5,3,2016-07-23,2016-07-24,1057,"RV"
"NBC News/SM",39,41,10,5,2016-07-18,2016-07-24,12931,"RV"
"Reuters/Ipsos",39,35,7,3,2016-07-16,2016-07-20,1232,"RV"
"Economist/YouGov",40,37,5,4,2016-07-15,2016-07-17,925,"RV"
"Monmouth",45,43,5,1,2016-07-14,2016-07-16,688,"LV"
"NBC News/SM",39,40,10,5,2016-07-11,2016-07-17,9436,"RV"
"CNN/ORC",42,37,13,5,2016-07-13,2016-07-16,872,"RV"
"ABC News/Wash Post",42,38,8,5,2016-07-11,2016-07-14,816,"RV"
"NBC News/Wall St. Jrnl",41,35,11,6,2016-07-09,2016-07-13,1000,"RV"
"Economist/YouGov",40,37,5,2,2016-07-09,2016-07-11,932,"RV"
"Associated Press-GfK",40,36,6,2,2016-07-07,2016-07-11,837,"RV"
"McClatchy/Marist",40,35,10,5,2016-07-05,2016-07-09,1053,"RV"
"Reuters/Ipsos",42,33,6,4,2016-07-02,2016-07-06,1345,"RV"
"Economist/YouGov",42,37,4,3,2016-07-02,2016-07-04,1004,"RV"
"USA Today/Suffolk",39,35,8,3,2016-06-26,2016-06-29,1000,"LV"
"PPP (D)",45,41,5,2,2016-06-27,2016-06-28,947,"RV"
"IBD/TIPP",37,36,9,5,2016-06-24,2016-06-29,837,"RV"
"Reuters/Ipsos",42,31,5,4,2016-06-25,2016-06-29,1247,"RV"
"Quinnipiac",39,37,8,4,2016-06-21,2016-06-27,1610,"RV"
"ABC News/Wash Post",47,37,7,3,2016-06-20,2016-06-23,836,"RV"
"NBC News/Wall St. Jrnl",39,38,10,6,2016-06-19,2016-06-23,1000,"RV"
"Reuters/Ipsos",43,34,6,5,2016-06-18,2016-06-22,1339,"RV"
"CNN/ORC",42,38,9,7,2016-06-16,2016-06-19,891,"RV"
"Monmouth",44,37,9,4,2016-06-15,2016-06-19,721,"LV"
"Reuters/Ipsos",39,29,6,4,2016-06-11,2016-06-15,1323,"RV"
"Guardian/SurveyUSA",39,36,6,4,2016-06-08,2016-06-08,1408,"RV"
"Quinnipiac",40,38,5,3,2016-05-24,2016-05-30,1561,"RV"
"PPP (D)",42,38,4,2,2016-05-06,2016-05-09,1222,"RV"
